source_factor_id,source_factor_name,target_hl_dimension_id,target_hl_dimension_name,adaptation_category_id,adaptation_category_name,adaptation_element_id,adaptation_element_name,relationship_type,activation_weight,text_effect,text_feature_id,text_feature_name,modification_type,modification_weight,evidence_type,evidence_status,source,validated,needs_validation,confidence,notes
worry_anxiety,Worry / anxiety,appraise,Appraise,content_good_practices,Content - Good Practices,reassurance_its_ok_phrases,Reassurance (it's ok phrases),ACTIVATES,0.85,Add one calming sentence after explaining the diagnosis,emotional_framing,Emotional framing,emotional_framing,0.9,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Directly addresses emotional distress.
worry_anxiety,Worry / anxiety,appraise,Appraise,content_good_practices,Content - Good Practices,positive_information_first,Positive information first,ACTIVATES,0.85,Mention slow progression and regular monitoring early,positive_framing,Positive framing,positive_framing,0.85,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Foregrounds stabilizing information.
uncertainty,Uncertainty,appraise,Appraise,content_good_practices,Content - Good Practices,order_of_information,Order of information,ACTIVATES,0.8,Start with stabilizing information then explain disease details,information_order,Information order,information_order,0.85,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,7,Supports appraisal of prognosis by sequencing information.
memory,Memory,understand,Understand,content_good_practices,Content - Good Practices,repeat_information,Repeat Information,ACTIVATES,0.75,Repeat the main message near the end,information_repetition,Information repetition,information_repetition,0.9,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,6,Supports retention.
medical_knowledge,Medical knowledge,understand,Understand,content_lexical,Content - Lexical,simplified_medical_terms,Simplified Medical Terms,ACTIVATES,0.85,Use blood cancer instead of hematological malignancy,terminology_complexity,Terminology complexity,lexical_simplification,0.9,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Canonical HEALIE lexical adaptation.
health_literacy_level,Health literacy level,understand,Understand,content_lexical,Content - Lexical,simplified_language,Simplified Language,ACTIVATES,0.9,Use common words and direct explanations,language_complexity,Language complexity,language_simplification,0.9,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Core low-HL adaptation.
health_literacy_level,Health literacy level,understand,Understand,content_lexical,Content - Lexical,complexity_of_medical_terms,Complexity of medical terms,ACTIVATES,0.9,Explain CLL immediately after naming it,term_explanation,Term explanation,term_explanation,0.85,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Prevents unexplained terminology.
age,Age,understand,Understand,morphology_formatting,Morphology / Formatting,font_size,Font Size,ACTIVATES,0.65,Support larger readable text in the demo or output,visual_accessibility,Visual accessibility,visual_accessibility,0.8,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,6,Accessibility-oriented presentation.
health_literacy_level,Health literacy level,understand,Understand,morphology_formatting,Morphology / Formatting,text_block_size,Text block size,ACTIVATES,0.9,Use short paragraphs and avoid dense text blocks,paragraph_density,Paragraph density,paragraph_density,0.85,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Reduces cognitive load.
processing_speed,Processing speed,understand,Understand,morphology_formatting,Morphology / Formatting,enumeration_steps,Enumeration (Steps),ACTIVATES,0.6,Present key information step by step,sequential_structure,Sequential structure,sequential_structure,0.8,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,5,Supports slower processing.
memory,Memory,understand,Understand,morphology_formatting,Morphology / Formatting,bullet_points_lists,Bullet Points/Lists,ACTIVATES,0.75,Summarize key information as bullet points,list_structure,List structure,list_structure,0.85,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,7,Supports recall and scanning.
memory,Memory,understand,Understand,morphology_formatting,Morphology / Formatting,bold,Bold,ACTIVATES,0.75,Bold only the most important terms or messages,emphasis,Emphasis,emphasis,0.7,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,6,Use sparingly to avoid visual overload.
educational_level,Educational level,understand,Understand,content_syntax_grammar,Content - Syntax & Grammar,secondary_sentences,Secondary sentences,ACTIVATES,0.7,Avoid long subordinate clauses,sentence_complexity,Sentence complexity,sentence_complexity,0.8,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,6,Reduces syntactic complexity.
health_literacy_level,Health literacy level,understand,Understand,content_syntax_grammar,Content - Syntax & Grammar,no_conditionals,No conditionals,ACTIVATES,0.9,Avoid complex if-then constructions where possible,conditional_complexity,Conditional complexity,conditional_complexity,0.8,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,8,Reduces reasoning burden.
worry_anxiety,Worry / anxiety,appraise,Appraise,content_syntax_grammar,Content - Syntax & Grammar,no_conditionals,No conditionals,ACTIVATES,0.85,Avoid conditional phrasing that may increase anxiety,conditional_complexity,Conditional complexity,conditional_complexity,0.8,expert_mapping,expert_informed_provisional,expert_selection_workbook,false,true,6,Avoids unnecessarily alarming uncertainty framing.
